#Group	#Point	x_coord	y_coord	z_coord
1	1	1.0	0.0013	0.0
1	2	0.95	0.0147	0.0
1	3	0.9	0.0271	0.0
1	4	0.8	0.0489	0.0
1	5	0.7	0.0669	0.0
1	6	0.6	0.0814	0.0
1	7	0.5	0.0919	0.0
1	8	0.4	0.098	0.0
1	9	0.3	0.0976	0.0
1	10	0.25	0.0941	0.0
1	11	0.2	0.088	0.0
1	12	0.15	0.0789	0.0
1	13	0.1	0.0659	0.0
1	14	0.075	0.0576	0.0
1	15	0.05	0.0473	0.0
1	16	0.025	0.0339	0.0
1	17	0.0125	0.0244	0.0
1	18	0.0	0.0	0.0
1	19	0.0125	-0.0143	0.0
1	20	0.025	-0.0195	0.0
1	21	0.05	-0.0249	0.0
1	22	0.075	-0.0274	0.0
1	23	0.1	-0.0286	0.0
1	24	0.15	-0.0288	0.0
1	25	0.2	-0.0274	0.0
1	26	0.25	-0.025	0.0
1	27	0.3	-0.0226	0.0
1	28	0.4	-0.018	0.0
1	29	0.5	-0.014	0.0
1	30	0.6	-0.01	0.0
1	31	0.7	-0.0065	0.0
1	32	0.8	-0.0039	0.0
1	33	0.9	-0.0022	0.0
1	34	0.95	-0.0016	0.0
1	35	1.0	-0.0013	0.0
1	0			
